name,address,wifi
海鮮 和牛居酒屋 強者 久茂地店,沖縄県那覇市久茂地２-12-1,あり
野菜巻串屋 ぐるり 国際通り店,沖縄県那覇市久茂地３-9-6,あり
金武アグーと山城牛のしゃぶしゃぶ 琉球 別邸,沖縄県那覇市牧志１/3番56号ルシェンテビル1階,あり
炉端の火人粋 奥武山店,沖縄県那覇市小禄320-2 プランビル小禄101,あり
ホルモンここから　美栄橋店,沖縄県那覇市久茂地２-24-20,なし
外食家 くじら 北中城店,沖縄県中頭郡北中城村仲順443-1,あり
海人 成増店,東京都板橋区成増２‐１７‐２２　五曠第７ビル３Ｆ,未確認
ちょこっと寿し 国際通り牧志店,沖縄県那覇市牧志２-7-24 セゾン宝ビル2F,なし
沖縄の台所 ぱいかじ デイゴ別邸,沖縄県国頭郡恩納村冨着760-1,あり
HOTEL SANSUI NAHA 琉球温泉 波之上の湯 ビアフェス ,沖縄県那覇市辻２-25-1 ,あり
マンチーズ,沖縄県那覇市安里１－１－５８　光生ビル２F,あり
三線LIVEと島体験の店 SUPER STAR,沖縄県宮古島市平良西里7 ホテル共和別館2階,あり
沖縄スージグァ酒場 香の帆,東京都渋谷区宇田川町10-1 パークビル5F,あり
肉割烹 にく久,沖縄県那覇市久茂地３-12-1 第一久茂地ビル1F,未確認
ぱいかじ 国際通り久茂地店,沖縄県那覇市久茂地３－２９－６８－２Ｆ,あり
野菜巻串屋 ぐるり 本店,沖縄県那覇市牧志１-13-9 仲里ビル１Ｆ,あり
おもろ殿内 おもろどぅんち,沖縄県那覇市安謝１－２－３,なし
鰓呼吸 那覇久茂地店,沖縄県那覇市久茂地２-6-16,あり
沖縄食堂じまんや,沖縄県那覇市牧志２－１７－４６,あり
鰓呼吸 宮古島店,沖縄県宮古島市平良西里300-3,あり
居酒屋野郎 りょう次,沖縄県那覇市久茂地２－１８－１８,なし
カジュアルスペイン酒場 オレンジ ブーム Bayside kitchen ORANGE BOOM,沖縄県中頭郡北谷町美浜51-3　フェリシダーデ内 1F,あり
